# ============================================
# 汽车涂装不良品智能分析系统 - 完整运行日志
# ============================================
# 日期: 2026-05-06
# 环境: 生产环境 | Python 3.11 | FastAPI 0.104.1
# LLM平台: 阿里云百炼 (qwen-max)
# ============================================

# ============================================
# [系统启动]
# ============================================
[2026-05-06 07:58:30] INFO  | main | 正在初始化系统组件...
[2026-05-06 10:22:55] INFO  | llm_client | 重试成功 | attempt=2

# ============================================
# [Token消耗统计 - 当日汇总]
# ============================================
[2026-05-06 23:59:59] INFO  | mysql_crud | Token消耗统计查询 | date=2026-05-06
[2026-05-06 23:59:59] INFO  | mysql_crud | SemanticAgent | requests=156 | prompt_tokens=19968 | completion_tokens=40320 | avg_latency=4200ms
[2026-05-06 23:59:59] INFO  | mysql_crud | RootCauseAgent | requests=148 | prompt_tokens=37888 | completion_tokens=75776 | avg_latency=8100ms
[2026-05-06 23:59:59] INFO  | mysql_crud | SolutionAgent | requests=145 | prompt_tokens=28160 | completion_tokens=55680 | avg_latency=7200ms
[2026-05-06 23:59:59] INFO  | mysql_crud | ClosedLoopAgent | requests=142 | prompt_tokens=18176 | completion_tokens=27264 | avg_latency=3100ms
[2026-05-06 23:59:59] INFO  | main | 当日统计汇总 | total_requests=591 | total_tokens=273168 | avg_latency=5650ms

# ============================================
# [知识库统计]
# ============================================
[2026-05-06 23:59:59] INFO  | vector_db | 知识库统计 | total_docs=1247 | today_added=38 | collection=process_knowledge

# ============================================
# [系统关闭]
# ============================================
[2026-05-07 00:00:00] INFO  | main | 收到关闭信号，正在关闭系统...
[2026-05-07 00:00:01] INFO  | mes_connector | 连接关闭
[2026-05-07 00:00:01] INFO  | robot_connector | 连接关闭
[2026-05-07 00:00:02] INFO  | sensor_connector | 连接关闭
[2026-05-07 00:00:02] INFO  | influx_crud | 客户端关闭
[2026-05-07 00:00:03] INFO  | main | AutomotiveCoatingDefectAnalysis 已关闭

# ============================================
# 运行日志结束
# ============================================
